split_id,model_name,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,top3_accuracy,inference_time_per_video_seconds,pipeline_time_per_video_seconds,train_time_seconds,feature_dim,num_train_samples,num_test_samples,device_used
1,vjepa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4629129252130224,1.5050791245115398,0.019213915977161378,1024,300,100,mps
1,videomae,0.88,0.8800000000000001,0.8769494930470539,0.876949493047054,0.8770002546473135,0.8800000000000001,0.99,0.4804718956250872,0.534338174462755,0.016141625004820526,768,300,100,mps
2,vjepa,0.99,0.99,0.9899937460913071,0.9899937460913071,0.9904761904761905,0.99,1.0,1.5038804058372626,1.551194611449173,0.01602095802081749,1024,300,100,mps
2,videomae,0.87,0.8700000000000001,0.8673424595906039,0.8673424595906039,0.8857509157509158,0.8700000000000001,1.0,0.4824798500316683,0.5355723276351637,0.0161244579940103,768,300,100,mps
3,vjepa,0.98,0.9800000000000001,0.9799498746867167,0.9799498746867168,0.9818181818181818,0.9800000000000001,1.0,1.491090200611943,1.5337723921597353,0.018999624997377396,1024,300,100,mps
3,videomae,0.8,0.8,0.8015126278989768,0.8015126278989768,0.8192463768115943,0.8,0.98,0.48854332200411593,0.5434041229232389,0.01807154098059982,768,300,100,mps
