model_name,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
videomae,ApplyEyeMakeup,1.0,0.0,1.0,0.0,1.0,0.0
videomae,Basketball,0.9062049062049061,0.09527088508077382,0.85,0.15000000000000005,0.8683928856095283,0.07279237740690485
videomae,Biking,0.7175867269984918,0.13914836700382052,0.7999999999999999,0.17320508075688776,0.7495147321234278,0.12383042641207148
videomae,Diving,0.890648723257419,0.05434933778172997,0.9500000000000001,0.08660254037844388,0.9186141047456986,0.06360577058074803
videomae,WalkingWithDog,0.7888888888888889,0.18358568490953678,0.65,0.05000000000000003,0.7064859117490695,0.07835151768985758
vjepa,ApplyEyeMakeup,1.0,0.0,1.0,0.0,1.0,0.0
vjepa,Basketball,1.0,0.0,1.0,0.0,1.0,0.0
vjepa,Biking,0.9841269841269842,0.027492869961410725,0.9666666666666667,0.05773502691896256,0.9743260590500643,0.02633926126916966
vjepa,Diving,1.0,0.0,1.0,0.0,1.0,0.0
vjepa,WalkingWithDog,0.9696969696969697,0.05248638810814775,0.9833333333333334,0.028867513459481322,0.9755799755799757,0.023832993035339586
